EV-2026-08-10-851,3065 s. KDVK md.36 tam metni: Cumhurbaskani indirim/iade hakkini kismen-tamamen kaldirmaya ve kisitlanan MAL VEYA HIZMETLERI belirlemeye yetkilidir. AYM 22/7/2025 E.2024/54 K.2025/163 ile yalnizca 'veya IADE' ibareleri iptal edilmistir (yururluk 9/9/2026); INDIRIM yetkisi AYAKTADIR.,md.36 indirim yetkisi YURURLUKTE,-,T1,3065 sayili KDV Kanunu konsolide metin md.36 + 91-94 no.lu dipnotlar,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.3065.pdf,1984-11-02,2018-07-02,2026-08-10,HIGH,FACT,180d,10-evidence/raw/snapshots/gumruk-vergi/KDVK-md36-tam-metin-ve-AYM-dipnotu.txt,gumruk-vergi-uzmani,-,-,"T-947/T-151. Yetki MAL BAZINDA kullanilabilir -> 'sarap' icin bir karar HUKUKEN MUMKUNDUR. Yetki FIILEN KULLANILMISTIR (7846). AYM iptali IADE ile sinirli; sarapta iade hakki zaten yok (md.29/2) -> etkisi YOK. Kaynak bu oturumda yeniden indirilemedi (mevzuat.gov.tr erisilemez, EV-2026-08-10-864); 2026-08-09'da ayni URL'den alinan yerel kopya okundu."
EV-2026-08-10-852,"KDVK md.36'ya dayanan YURURLUKTEKI CB Karari VARDIR: 7846 s. Karar, ithalatta gozetim / korunma onlemi / dampinge karsi vergi kaynakli matrah artislarina ait KDV'nin INDIRIM HAKKINI KALDIRIR. Karar URUN degil ONLEM bazlidir; alkole ozgu hukum ICERMEZ.",7846 sayili CBK,-,T1,T.C. Resmi Gazete 24/11/2023 Sayi 32379 - 23/11/2023 tarihli 7846 sayili CB Karari eki Karar,https://www.resmigazete.gov.tr/eskiler/2023/11/20231124-2.pdf,2023-11-24,2023-11-24,2026-08-10,HIGH,FACT,180d,10-evidence/raw/snapshots/gumruk-vergi/RG-20231124-32379-CBK-7846-tam-metin-OCR.txt,gumruk-vergi-uzmani,-,-,T-947'NIN SORDUGU KARARDIR VE VARDIR. TUR 1.5'in 'olasilik DUSUK' gerekcesi bu yonuyle YANLISTI. 2204.21 uc tetikleyicinin HICBIRINE tabi degil (EV-2026-08-10-860/-861/-862) -> BAZ SENARYODA TETIKLENMEZ. Kisit KISMIDIR (yalniz tevsik edilemeyen artis). RG PDF taranmis goruntu; OCR metni KDVGUT III/C-2.6'daki resmi alintiyla kelime kelime dogrulandi.
EV-2026-08-10-853,8000 s. CB Karari 7846'ya yalnizca bir GECICI MADDE eklemistir: 24/11/2023 oncesi bankacilik sistemi uzerinden odenmis ve en gec 1/4/2024'e kadar ithal edilen mallar kapsam disidir. 7846'nin ESAS HUKMU DEGISTIRILMEMISTIR.,Gecici Madde 1 - son tarih 1/4/2024 (SURESI DOLMUS),-,T1,T.C. Resmi Gazete 28/12/2023 Sayi 32413 - 27/12/2023 tarihli 8000 sayili CB Karari eki Karar,https://www.resmigazete.gov.tr/eskiler/2023/12/20231228-14.pdf,2023-12-28,2023-11-24,2026-08-10,HIGH,FACT,180d,10-evidence/raw/snapshots/gumruk-vergi/RG-20231228-32413-CBK-8000-tam-metin-OCR.txt,gumruk-vergi-uzmani,-,-,"BUGUN ETKISIZDIR. publication_date (28/12/2023) ile effective_date (24/11/2023, geriye yurutulmus) KARISTIRILMAMALIDIR. Model etkisi YOK."
EV-2026-08-10-854,KDVGUT III/C-2.6: 7846 s. CBK'nin idari uygulamasi. Gozetim/korunma/damping nedeniyle KDV matrahinda olusan ARTIS TUTARLARINA ait KDV indirilemez; ayni mala iliskin BU UYGULAMALAR DISINDA KALAN bedellere (CIF + GV + IGV) ait KDV INDIRILEBILIR. III/C-2.6.2 ile altisar aylik bildirim / Ozel Amacli YMM Raporu yukumlulugu getirilmistir.,KISMI kisit: indirilemeyen KDV = kdv_orani x (D + D*gv + D*igv),-,T1,KDV Genel Uygulama Tebligi (RG 26/4/2014-28983) III/C-2.6 - 57 Seri No.lu Teblig ile eklenen bolum; GIB konsolide metin 397 sayfa,https://cdn.gib.gov.tr/api/gibportal-file/file/getFile?objectKey=MEVZUAT_TEBLIGLER/UNIVERSAL/2026/kdv_genteb.pdf,2014-04-26,2026-01-31,2026-08-10,HIGH,FACT,90d,10-evidence/raw/snapshots/gumruk-vergi/KDVGUT-III-C-2.6-7846-uygulamasi.txt,gumruk-vergi-uzmani,-,-,"T-151 madde 1'in ASIL BOSLUGU KAPANDI. KDVGUT'teki 7846 alintisi RG orijinaliyle (EV-...-852) BIREBIR AYNI -> capraz dogrulama. TEBLIG ORNEGI: CIF 4.000.000 / gozetim 10.000.000 / GV %10 / IGV %15 / KDV %20 -> indirilemeyecek KDV 1.500.000 TL, indirilecek KDV 1.000.000 TL. MODEL ICIN KRITIK: TAM KISIT DEGILDIR -> finans-fizibilite'nin %22,7 senaryosu FAZLA KOTUMSERDIR. Konsolide PDF 2026-04-15 tarihli olup 58 Seri No.lu Teblig'i (RG 16/6/2026) icermez; 58'in III/C'ye DOKUNMADIGI ayrica dogrulandi."
EV-2026-08-10-855,"KDVGUT III/C-1 (Vergi Indirimi): mukellefler 'ithal ettikleri mal ve hizmetler dolayisiyla odedikleri KDV'yi' indirebilirler. Bolumde ithal mal turune (alkol, OTV'ye tabi mal vb.) gore HICBIR AYRIM VEYA KISIT YOKTUR.",ithalatta odenen KDV indirilebilir - teblig duzeyinde teyit,-,T1,KDV Genel Uygulama Tebligi (RG 26/4/2014-28983) III/C-1 - GIB konsolide metin,https://cdn.gib.gov.tr/api/gibportal-file/file/getFile?objectKey=MEVZUAT_TEBLIGLER/UNIVERSAL/2026/kdv_genteb.pdf,2014-04-26,2014-05-01,2026-08-10,HIGH,FACT,90d,10-evidence/raw/snapshots/gumruk-vergi/KDVGUT-III-C-1-vergi-indirimi.txt,gumruk-vergi-uzmani,-,-,EV-2026-08-10-101 (kanun duzeyi) ve -105 (sure siniri) ile AYNI SONUCU TEBLIG DUZEYINDE teyit eder; onlari gecersiz KILMAZ -> supersedes BOSTUR. T-151 madde 1'i kapatan iki karttan biridir.
EV-2026-08-10-856,GIB mevzuat veri tabaninda 3065 s. KDVK'ya bagli 32 CUMHURBASKANI KARARI ve 86 BAKANLAR KURULU KARARININ TAMAMI listelenip incelenmistir. md.36'ya dayanarak INDIRIM HAKKINI KISITLAYAN kayit SADECE IKI TANEDIR (7846 ve onu degistiren 8000). Basliginda '36 nci madde' gecen 3 BKK'nin UCU DE KDV ORANI kararidir. Alkollu icki/sarap/OTV'ye tabi mallara ozgu indirim kisitlama karari YOKTUR.,32 CBK + 86 BKK tam sayim -> md.36 dayanakli indirim kisiti: yalniz 7846 (+8000),adet,T2,"Gelir Idaresi Baskanligi - Mevzuat veri tabani (kanun id 436 = 3065 s. KDVK), CBK ve BKK tam listeleri",https://gib.gov.tr/mevzuat/kanun/436,2026-08-10,2026-08-10,2026-08-10,MEDIUM,FACT,90d,10-evidence/raw/snapshots/gumruk-vergi/GIB-KDVK-bagli-CBK-BKK-tam-liste-basliklari.txt,gumruk-vergi-uzmani,-,-,"T-947'nin 'md.36 kararlari SISTEMATIK TARANMADI' boslugunu kapatir. TAM SAYIMDIR (totalElements CBK=32, BKK=86; ikisinin de tamami dondu), ORNEKLEME DEGILDIR. KIRILGANLIK: GIB'in KENDI eslestirmesine dayanir; ilistirilmemis bir karar teorik olarak kacabilir. Ikinci bagimsiz kaynak (mevzuat.gov.tr) ERISILEMEDI -> confidence MEDIUM."
EV-2026-08-10-857,"GIB ozelgesi: 'alkollu ickilerin perakendeci bayiler tarafindan nihai tuketicilere teslimi GENEL ESASLARA GORE KDV'ye tabi tutulacak, alkollu icki alimlari nedeniyle yuklenilen KDV Kanunun 29 uncu maddesi uyarinca INDIRIM KONUSU YAPILABILECEKTIR.' Alkollu ickide OZEL MATRAH SEKLI yalniz TEKEL'e uygulaniyordu, ozellestirme ile FIILEN ORTADAN KALKMISTIR (93 Seri No.lu KDV Genel Tebligi).",alkollu icki alimlarinda yuklenilen KDV INDIRILEBILIR,-,T2,"GIB Zonguldak VDB Mukellef Hizmetleri Grup Mudurlugu ozelgesi, sayi B.07.1.GIB.4.67.15.01-2010-KDV-23-34",https://gib.gov.tr/mevzuat/kanun/436/ozelge/32044,2011-08-20,2011-08-20,2026-08-10,MEDIUM,FACT,180d,10-evidence/raw/snapshots/gumruk-vergi/GIB-ozelge-32044-alkollu-icki-KDV-indirimi.txt,gumruk-vergi-uzmani,-,-,"T-151 madde 3 ('GIB ozelgesi aranmadi') KAPANDI. KAPSAM SINIRI: ozelge TICARET asamasina iliskindir, ITHALAT asamasina degil; ithalat zaten md.29/1-b'de ayrica sayilidir -> a fortiori destekleyicidir, tek basina ithalat KDV'sinin kaniti DEGILDIR. Ozelge yalniz talep edene ozguldur (VUK md.413) -> tier T2, confidence MEDIUM. IKINCIL: alkolde ozel matrah sekli UYGULANMIYOR -> matrah-sirasi sira 5 DOGRULANDI."
EV-2026-08-10-858,"KDVGUT'te alkollu icecege ozgu TEK KDV indirim yasagi III/B-2.5.2'dir ve MUKELLEFI KONAKLAMA TESISIDIR: 'geceleme hizmetleri kapsaminda sunulan alkollu iceceklere ait yuklenilen KDV tutarlari, KONAKLAMA TESISLERI tarafindan hesaplanan KDV'den INDIRILEMEZ.' Tesis bedeli faturada AYRICA gosterirse genel oran uygular ve o KDV'yi INDIREBILIR. 'Alkollu icecek' = OTV Kanunu (III) sayili liste (A) cetveli -> SARAP DAHILDIR.","alkole ozgu tek KDV indirim yasagi - mukellef KONAKLAMA TESISI, ithalatci DEGIL",-,T1,KDV Genel Uygulama Tebligi (RG 26/4/2014-28983) III/B-2.5.2 - GIB konsolide metin,https://cdn.gib.gov.tr/api/gibportal-file/file/getFile?objectKey=MEVZUAT_TEBLIGLER/UNIVERSAL/2026/kdv_genteb.pdf,2014-04-26,2014-05-01,2026-08-10,HIGH,FACT,90d,10-evidence/raw/snapshots/gumruk-vergi/KDVGUT-III-B-2.5.2-konaklama-alkollu-icecek.txt,gumruk-vergi-uzmani,-,-,T-947'nin sorusuna POZITIF ama KAPSAM DISI cevaptir. Vergi bacagina etkisi SIFIR. KANAL ETKISI VARDIR ve ALANIM DEGILDIR: 'her sey dahil' otelde sarabin KDV'si otel icin GERCEK MALIYETTIR -> o kanalin odeme istekliligi ~%20 daha dusuk; tesis bedeli ayristirirsa kisit kalkar -> capraz ipucu kanal-marj-uzmani. Bu kartin tek basina 'alkolde KDV indirimi kisitli' seklinde okunmasi HATALIDIR.
EV-2026-08-10-859,"KDVGUT'un GIB konsolide TAM METNI (397 sayfa) 'alkol / icki / sarap' icin bastan sona tarandi. 19 eslesen satirin tamami uc gruba ayrilir: konaklama tesislerinde alkollu icecek KDV indirimi, lokanta/HoReCa oran ayrimi, biracilik-damitik icki sanayi posasinin istisna disi olmasi. SARAP ITHALATCISININ INDIRIM HAKKINI SINIRLAYAN TEK BIR HUKUM YOKTUR.",19,eslesen satir (tamami kapsam disi),T1,"KDV Genel Uygulama Tebligi - GIB konsolide metin (397 sayfa, dosya tarihi 2026-04-15)",https://cdn.gib.gov.tr/api/gibportal-file/file/getFile?objectKey=MEVZUAT_TEBLIGLER/UNIVERSAL/2026/kdv_genteb.pdf,2014-04-26,2026-01-31,2026-08-10,HIGH,FACT,90d,10-evidence/raw/snapshots/gumruk-vergi/KDVGUT-alkol-icki-sarap-tam-metin-taramasi.txt,gumruk-vergi-uzmani,-,-,"T-151 madde 1 KAPANDI. Tarama III/C ile SINIRLI DEGIL, BELGENIN TAMAMINI kapsar. 19 satirin tamami snapshot'ta ACIKCA listelenmistir. SINIR: yalnizca 'alkol/icki/sarap' kok kelimeleri; 'OTV'ye tabi mallar' gibi DOLAYLI bir formulasyonu yakalamaz - bu risk md.30 tam metni (EV-2026-08-10-103) ve md.36 kararlarinin tam sayimi (EV-2026-08-10-856) ile BAGIMSIZ olarak elenmistir."
EV-2026-08-10-860,"RG 31/12/2025-33124 (4. Mukerrer) ITHALATTA GOZETIM UYGULANMASINA ILISKIN TEBLIG setinin TAMAMI (36 yeni teblig 2026/1-2026/36 + 11 degisiklik tebligi) indirilip GTIP tablolari cikarildi: 305 farkli GTIP. Kapsanan fasillar 08,20,25,28,29,34,37,38,39,40,46,48,54,67,68,69,70,71,73,79,82,83,84,85,87,90,94,95,96. 22. FASIL (ICECEKLER) HIC GECMEZ; 2204/2205/2206 SAYISI SIFIRDIR. 36 tebligin tamami TPS-0964 Gozetim Belgesi SANAYI kodunu kullanir.",0,2204/2205/2206 eslesmesi (305 farkli GTIP icinde),T1,T.C. Resmi Gazete 31/12/2025 Sayi 33124 (4. Mukerrer) - Ithalatta Gozetim Uygulanmasina Iliskin Tebligler (47 adet tam metin),https://www.resmigazete.gov.tr/fihrist?tarih=2025-12-31&mukerrer=4,2025-12-31,2026-01-01,2026-08-10,MEDIUM,FACT,30d,10-evidence/raw/snapshots/gumruk-vergi/gozetim-tebligleri-2026-GTIP-cikarimi.txt,gumruk-vergi-uzmani,-,-,"EV-2026-08-09-125'in NEGATIF ARAMA kaydini POZITIF TARAMAYA cevirir; onu gecersiz KILMAZ (farkli yontem ayni sonuc) -> supersedes BOSTUR. YONTEM: her teblig icin UC BAGIMSIZ cikarimin BIRLESIMI - (a) PDF metin katmani, (b) sayfa goruntusu OCR, (c) GOMULU tablo goruntusu OCR (psm6+psm4). TEK YONTEM YETMEZDI: bazi tebliglerde tablo AYRI BIR CCITT/JBIG2 GORUNTUDUR ve metin katmaninda HIC YOKTUR. POZITIF KONTROL: 47 dosyanin 46'sindan GTIP cikti; kalan 1 (2024/14 degisikligi) ayrica tam OCR edildi, GTIP tablosu ICERMIYOR. KRITIK SINIR: yillik pakette yer almayan daha ESKI ve hala yururlukte bir teblig BU YONTEMLE ELENEMEZ -> ticket T-172. KARSI-ORNEK: 2019/6 degisikliginde 0810.10/0810.50 (cilek, kivi) gorulmustur -> GOZETIM TARIM URUNUNE DE UYGULANABILIR; 'sarap tarim urunudur gozetim gelmez' argumani GECERSIZDIR."
