evidence_id,claim,value,unit,tier,source_name,url,publication_date,effective_date,access_date,confidence,status,ttl,snapshot_path,collecting_agent,supersedes,conflict_id,notes
EV-2026-08-09-101,750 ml sisede kopuksuz sarap Turk tarifesinde 2204.21 alt pozisyonunda (muhtevasi 2 litreyi gecmeyen kaplarda olanlar) siniflandirilir; 12 haneli GTIP bu alt pozisyonun altindadir.,2204.21.xx.xx.xx,GTIP,T1,Isvicre/Lihtenstayn Tarife Kontenjani Karari (CBK 4559) ekli tablo + Ithalat Rejimi Karari I sayili Liste 2026 (21-22. Fasillar) GTIP satirlari,https://ticaret.gov.tr/data/5ba234df13b87610d0a0331d/%C4%B0svi%C3%A7re%20Karar.docx,2021-10-01,2021-10-01,2026-08-09,HIGH,FACT,1y,10-evidence/raw/snapshots/gumruk-vergi/Isvicre-Lihtenstayn-tarife-kontenjani-karar-metin.txt,gumruk-vergi-uzmani,-,-,"CBK tablosunda ""2204.21 | Muhtevasi 2 litre veya daha az kaplarda olanlar"" ifadesi resmi metinde acik. 12 haneli alt kirilim (ABV / PDO-PGI) TGTC 2026 PDF taranmis goruntu oldugu icin okunamadi -> bkz. EV-2026-08-09-102 uzerinden vergi yuku degismedigi gosterildi."
EV-2026-08-09-102,Ithalat Rejimi Karari I sayili Liste 2026 icinde 2204.21 / 2204.22 / 2204.29 alt pozisyonlarindaki 113 GTIP satirinin tamaminda AB-BK sutunu %50 ve DU sutunu %70 ile aynidir; 12 haneli alt kirilim gumruk vergisi oranini DEGISTIRMEZ.,"113 satirda AB,BK=50 ; DU=70 (tekduze)",%,T1,"T.C. Ticaret Bakanligi - Ithalat Rejimi Karari (3350) ekli listeler, konsolide 2026 paketi (I sayili Liste, 21-22. Fasillar)",https://ticaret.gov.tr/data/68d2951f13b876c2509a480b/rejim%202026.zip,2026-07-17,2026-01-01,2026-08-09,HIGH,FACT,90d,10-evidence/raw/snapshots/gumruk-vergi/ithalat-rejimi-2026-I-sayili-liste-2204-satirlari.csv,gumruk-vergi-uzmani,-,-,"Programatik kontrol: 2204.21/22/29 ile baslayan tum GTIP satirlari gruplandirildi; AB,BK ve DU sutunlari icin tek deger cikti. Yalniz KOS sutunu 220421310000 ve 220421610000 satirlarinda 70, digerlerinde 0."
EV-2026-08-09-103,AB uyesi ulkeler ve Birlesik Krallik mensei 2204.21 sarap ithalatinda gumruk vergisi orani %50dir (sifir DEGILDIR; Gumruk Birligi sarabi kapsamaz).,50,%,T1,"T.C. Ticaret Bakanligi - Ithalat Rejimi Karari (3350) ekli listeler, konsolide 2026 paketi (I sayili Liste, 21-22. Fasillar)",https://ticaret.gov.tr/data/68d2951f13b876c2509a480b/rejim%202026.zip,2026-07-17,2026-01-01,2026-08-09,HIGH,FACT,90d,10-evidence/raw/snapshots/gumruk-vergi/ithalat-rejimi-2026-I-sayili-liste-2204-satirlari.csv,gumruk-vergi-uzmani,-,-,"Sutun basligi ""AB, BK"". Kisaltmalar dosyasi: AB = Avrupa Birligi Uyesi Ulkeler, BK = Buyuk Britanya ve Kuzey Irlanda Birlesik Kralligi. Ispanya/Italya/Fransa/Portekiz bu sutundadir."
EV-2026-08-09-104,"Diger Ulkeler (DU) mensei 2204.21 sarap ithalatinda gumruk vergisi orani %70tir; ABD, Guney Afrika, Avustralya ve Arjantin bu sutuna girer.",70,%,T1,"T.C. Ticaret Bakanligi - Ithalat Rejimi Karari (3350) ekli listeler, konsolide 2026 paketi (I sayili Liste, 21-22. Fasillar)",https://ticaret.gov.tr/data/68d2951f13b876c2509a480b/rejim%202026.zip,2026-07-17,2026-01-01,2026-08-09,HIGH,FACT,90d,10-evidence/raw/snapshots/gumruk-vergi/ithalat-rejimi-2026-I-sayili-liste-2204-satirlari.csv,gumruk-vergi-uzmani,-,-,"ABD/G.Afrika/Avustralya/Arjantin I sayili Liste 21-22. Fasillar sutun basliklarinda (AB-BK, GUR, B-HER, G.KORE, MLZ, SNG, KOS, VNZ, BAE, TPS-OIC, D-8, DU) ayri sutun olarak yer almiyor -> DU sutunu uygulanir. Benchmark urun (Gold Country, California/ABD) bu gruptadir."
EV-2026-08-09-105,Sili Cumhuriyeti mensei 2204.21 sarapta gumruk vergisi %50 olarak uygulanir (I sayili Liste 21-22. Fasillar dipnot 2).,50,%,T1,"T.C. Ticaret Bakanligi - Ithalat Rejimi Karari (3350) ekli listeler, konsolide 2026 paketi (I sayili Liste, 21-22. Fasillar) - dipnot (2)",https://ticaret.gov.tr/data/68d2951f13b876c2509a480b/rejim%202026.zip,2026-07-17,2026-01-01,2026-08-09,HIGH,FACT,90d,10-evidence/raw/snapshots/gumruk-vergi/ithalat-rejimi-2026-I-sayili-liste-2204-satirlari.csv,gumruk-vergi-uzmani,-,-,"Dipnot metni: ""(2) Sili Cumhuriyeti icin gumruk vergisi %50 olarak uygulanir."" 2204.21 satirlarinin DIPNOT sutunu ""1.2"" yani dipnot 1 ve 2 gecerli."
EV-2026-08-09-106,"2204.21 sarapta sifir gumruk vergili mense ulkeler: Bosna-Hersek, Guney Kore, Singapur, Kosova (%0). Kuzey Makedonya DU oraninin %50si (=%35), Venezuela %35, BAE %49.",B-HER=0; G.KORE=0; SNG=0; KOS=0; K.Makedonya=35; VNZ=35; BAE=49; GUR=70; MLZ=70; TPS-OIC=70; D-8=70,%,T1,"T.C. Ticaret Bakanligi - Ithalat Rejimi Karari (3350) ekli listeler, konsolide 2026 paketi (I sayili Liste, 21-22. Fasillar) - sutunlar ve dipnot (1)",https://ticaret.gov.tr/data/68d2951f13b876c2509a480b/rejim%202026.zip,2026-07-17,2026-01-01,2026-08-09,HIGH,FACT,90d,10-evidence/raw/snapshots/gumruk-vergi/ithalat-rejimi-2026-I-sayili-liste-2204-satirlari.csv,gumruk-vergi-uzmani,-,-,Dipnot 1: Kuzey Makedonya icin DU sutunundaki gumruk vergisinin %50si. KOS sutunu 220421310000 ve 220421610000 icin 70; diger tum 2204.21 satirlari icin 0.
EV-2026-08-09-107,"2204 (sarap) Ithalatta Ilave Gumruk Vergisi (IGV) Karari 3351 ekli EK-1, EK-2 ve EK-3 tablolarinda yer almamaktadir; sarapta IGV YOKTUR.",YOK,-,T1,T.C. Ticaret Bakanligi - Ithalatta Ilave Gumruk Vergisi Uygulanmasina Iliskin Karar (3351) konsolide EK-1/EK-2/EK-3 tablolari,https://ticaret.gov.tr/data/63bd486013b8763b44f9da6c/%C4%B0GV.zip,2026-08-09,2026-01-01,2026-08-09,MEDIUM,FACT,90d,-,gumruk-vergi-uzmani,-,-,"NEGATIF BULGU. Uc EK tablosunun tamami programatik olarak ""2204"" icin tarandi; tek eslesme 8502.20.40.xx (substring) idi, sarap satiri yok. Snapshot alinmadi (dosya buyuk); URL uzerinden yeniden dogrulanabilir."
EV-2026-08-09-108,"AB mensei tarim urunleri tarife kontenjani sadece 2204.10 (kopuklu saraplar) icin acilmistir: 750 hl/yil, 01.01-31.12, kontenjan ici ithalat vergisi %35. Kopuksuz sarap (2204.21) icin AB tarife kontenjani YOKTUR.","2204.10: 750 hl/yil, %35 ; 2204.21: kontenjan yok",hl / %,T1,"Avrupa Birligi Menseli Bazi Tarim Urunleri Ithalatinda Tarife Kontenjani Uygulanmasi Hakkinda Karar (2006/11439), 1/98 sayili Ortaklik Konseyi Karari cercevesinde",https://ticaret.gov.tr/data/5ba234df13b87610d0a0331d/AB%20Karar.docx,2006-12-30,2007-01-01,2026-08-09,HIGH,FACT,180d,10-evidence/raw/snapshots/gumruk-vergi/AB-tarim-tarife-kontenjani-karar-metin.txt,gumruk-vergi-uzmani,-,-,KRITIK NEGATIF BULGU: 750 ml kopuksuz sarapta AB mensei icin tarife kontenjani yolu ile indirim imkani yok; %50 tam oran uygulanir.
EV-2026-08-09-109,Isvicre Konfederasyonu veya Lihtenstayn Prensligi mensei 2204.21 sarap icin yillik 30.000 litre tarife kontenjani vardir; kontenjan icinde DU sutunundaki gumruk vergisinin %50si uygulanir (=%35).,"30.000 lt/yil, DU oraninin %50si (= %35)",litre / %,T1,Isvicre Konfederasyonu veya Lihtenstayn Prensligi Menseli Bazi Urunlerin Ithalatinda Tarife Kontenjani Uygulanmasi Hakkinda Karar (CBK 4559),https://ticaret.gov.tr/data/5ba234df13b87610d0a0331d/%C4%B0svi%C3%A7re%20Karar.docx,2021-10-01,2021-10-01,2026-08-09,HIGH,FACT,180d,10-evidence/raw/snapshots/gumruk-vergi/Isvicre-Lihtenstayn-tarife-kontenjani-karar-metin.txt,gumruk-vergi-uzmani,-,-,"Dipnot (i): ""Ithalat Rejimi Kararinin DU sutununda yer alan gumruk vergisi ile varsa ek mali yukumluluklerin %50si uygulanir."" 30.000 lt = 40.000 sise/yil, tum ithalatcilar icin toplam. Isvicre sarabi fiyat/performans segmenti disinda oldugu icin pratik degeri dusuk."
EV-2026-08-09-110,OTV Kanununa ekli (III) sayili listenin (A) cetvelinde 22.04 (taze uzum sarabi; 2204.10 kopuklu ve 2204.30 uzum sirasi haric) icin nispi OTV orani %0dir.,0,%,T2,"Gelir Idaresi Baskanligi - OTV (III) sayili liste, 4760 sayili Kanunun 12/3 maddesi uyarinca guncellenen liste",https://cdn.gib.gov.tr/api/gibportal-file/file/getFileResources?objectKey=arsiv/yardim-kaynaklar/yararli-bilgiler/ozel-tuketim-vergisi-oranlari/03072026_3sayili.pdf,2026-07-03,2026-07-03,2026-08-09,HIGH,FACT,30d,10-evidence/raw/snapshots/gumruk-vergi/GIB-OTV-III-sayili-liste-yururluk-2026-07-03.pdf,gumruk-vergi-uzmani,-,-,Nispi oran %0 oldugundan sarapta OTV fiilen tamamen asgari maktu vergi tutari uzerinden hesaplanir (bkz. EV-2026-08-09-111 ve -113).
