GTIP,DIPNOT,AB_BK,GUR,B-HER,G.KORE,MLZ,SNG,KOS,VNZ,BAE,TPS-OIC,D-8,DU
220410110000,1,50,70,0,0,70,0,0,35,49,70,70,70
220410130000,1,50,70,0,0,70,0,70,35,49,70,70,70
220410150000,1,50,70,0,0,70,0,70,35,49,70,70,70
220410910000,1,50,70,0,0,70,0,0,35,49,70,70,70
220410930000,1,50,70,0,0,70,0,0,35,49,70,70,70
220410940000,1,50,70,0,0,70,0,0,35,49,70,70,70
220410960000,1,50,70,0,0,70,0,0,35,49,70,70,70
220410980000,1,50,70,0,0,70,0,0,35,49,70,70,70
220421060000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421070000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421080000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421090000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421110000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421120000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421130000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421170000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421180000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421190000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421220000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421230000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421240000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421260000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421270000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421280000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421310000,1.2,50,70,0,0,70,0,70,35,49,70,70,70
220421320000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421340000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421360000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421370000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421380000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421420000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421430000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421440000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421460000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421470000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421480000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421610000,1.2,50,70,0,0,70,0,70,35,49,70,70,70
220421620000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421660000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421670000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421680000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421690000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421710000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421740000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421760000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421770000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421780000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421790000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421800000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421810000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421820000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421830000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421840000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421850000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421860000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421870000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421880000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421890000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421900000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421910000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421930000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421940000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421950000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421960000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421970000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220421980000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422100000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422220000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422230000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422240000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422260000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422270000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422280000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422320000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422330000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422380000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422780000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422790000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422800000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422810000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422820000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422830000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422840000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422850000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422860000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422880000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422900000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422910000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422930000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422940000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422950000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422960000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422970000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220422980000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429100000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429220000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429230000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429240000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429260000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429270000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
220429280000,1.2,50,70,0,0,70,0,0,35,49,70,70,70
