TARGET_SHELF_TRY_KDV_DAHIL,TARGET_ID,COUNTRY,CHANNEL,SCENARIO,CUSTOMS_SCENARIO,CUSTOMS_RATE_PCT,CUSTOMS_RATE_SOURCE,LOGISTICS_SCENARIO,LOGISTICS_MODE,VOLUME_BOTTLES,MAX_CIF_TRY_UPPER_BOUND,MAX_FOB_TRY,MAX_EXW_TRY,MAX_FOB_EUR_USD,MAX_EXW_EUR_USD,L4_ECON_MAX_TRY,L4_CASH_MAX_TRY,OTV_TRY_PER_BOTTLE,KDV_ITHAL_CASH_TRY,MAX_CIF_TRY_PER_LITRE,IMPLIED_BREAKEVEN_USDTRY_VS_OBSERVED_CIF,R8_ROUNDTRIP_OK,STATUS,LABEL,CONFIDENCE,MISSING_INPUTS
599,TGT_599,ES,CHAIN_RETAIL,LOW,DOC_OK,50.00,KOSULLU_SAGLANDI,LOW,LCL,5000,213.7184,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,374.0294,448.8353,53.4519,74.8059,284.9578,105.15,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
599,TGT_599,ES,CHAIN_RETAIL,LOW,DOC_OK,50.00,KOSULLU_SAGLANDI,LOW,LCL,25000,230.8479,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,399.7237,479.6684,53.4519,79.9447,307.7971,113.58,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
599,TGT_599,ES,CHAIN_RETAIL,LOW,DOC_OK,50.00,KOSULLU_SAGLANDI,LOW,LCL,50000,231.5786,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,400.8198,480.9838,53.4519,80.1640,308.7715,113.94,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
599,TGT_599,ES,CHAIN_RETAIL,LOW,DOC_OK,50.00,KOSULLU_SAGLANDI,LOW,LCL,100000,233.3144,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,403.4235,484.1082,53.4519,80.6847,311.0859,114.79,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
599,TGT_599,ES,CHAIN_RETAIL,BASE,DOC_OK,50.00,KOSULLU_SAGLANDI,BASE,LCL,5000,189.4972,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,337.6978,405.2373,53.4519,67.5396,252.6630,93.23,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
599,TGT_599,ES,CHAIN_RETAIL,BASE,DOC_OK,50.00,KOSULLU_SAGLANDI,BASE,LCL,25000,207.1801,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,364.2220,437.0664,53.4519,72.8444,276.2401,101.93,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
599,TGT_599,ES,CHAIN_RETAIL,BASE,DOC_OK,50.00,KOSULLU_SAGLANDI,BASE,LCL,50000,207.9442,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,365.3681,438.4418,53.4519,73.0736,277.2589,102.31,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
599,TGT_599,ES,CHAIN_RETAIL,BASE,DOC_OK,50.00,KOSULLU_SAGLANDI,BASE,LCL,100000,209.7000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,368.0018,441.6022,53.4519,73.6004,279.6000,103.17,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
599,TGT_599,ES,CHAIN_RETAIL,HIGH,DOC_OK,50.00,KOSULLU_SAGLANDI,HIGH,LCL,5000,155.5528,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,286.7811,344.1373,53.4519,57.3562,207.4037,76.53,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
599,TGT_599,ES,CHAIN_RETAIL,HIGH,DOC_OK,50.00,KOSULLU_SAGLANDI,HIGH,LCL,25000,173.2556,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,313.3353,376.0024,53.4519,62.6671,231.0075,85.24,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
599,TGT_599,ES,CHAIN_RETAIL,HIGH,DOC_OK,50.00,KOSULLU_SAGLANDI,HIGH,LCL,50000,174.2330,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,314.8015,377.7618,53.4519,62.9603,232.3107,85.72,EVET,MODEL_DERIVED_UPPER_BOUND,TARGET / MODEL_DERIVED / UPPER_BOUND — FACT DEGIL,LOW,fx(T-912); FOB/EXW; USD-EUR L5 kalemleri; f listeleme; d(tekel/horeca); fire; antrepo bekleme; distributor marji; OTV(2027) FUTURE_UNKNOWN
