TARGET_SHELF_TRY_KDV_DAHIL,CHANNEL,SCENARIO,VOLUME_BOTTLES,TARIFF_GROUP,CUSTOMS_RATE_PCT,MAX_CIF_TRY_UPPER_BOUND,MAX_CIF_EUR_AT_TCMB_20260810,MAX_CIF_USD_AT_TCMB_20260810,LABEL,STATUS,SOURCE
599,CHAIN_RETAIL,LOW,5000,P_TERCIHLI_DOC_OK,50,213.7184,3.8758,4.4794,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,LOW,5000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,188.5750,3.4198,3.9524,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,LOW,25000,P_TERCIHLI_DOC_OK,50,230.8479,4.1865,4.8384,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,LOW,25000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,203.6893,3.6939,4.2692,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,LOW,50000,P_TERCIHLI_DOC_OK,50,231.5786,4.1997,4.8537,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,LOW,50000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,204.3341,3.7056,4.2827,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,LOW,100000,P_TERCIHLI_DOC_OK,50,233.3144,4.2312,4.8901,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,LOW,100000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,205.8657,3.7334,4.3148,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,BASE,5000,P_TERCIHLI_DOC_OK,50,189.4972,3.4366,3.9717,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,BASE,5000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,167.2035,3.0323,3.5044,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,BASE,25000,P_TERCIHLI_DOC_OK,50,207.1801,3.7573,4.3423,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,BASE,25000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,182.8059,3.3152,3.8315,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,BASE,50000,P_TERCIHLI_DOC_OK,50,207.9442,3.7711,4.3583,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,BASE,50000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,183.4801,3.3274,3.8456,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,BASE,100000,P_TERCIHLI_DOC_OK,50,209.7000,3.8030,4.3951,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,BASE,100000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,185.0294,3.3555,3.8781,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,HIGH,5000,P_TERCIHLI_DOC_OK,50,155.5528,2.8210,3.2603,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
599,CHAIN_RETAIL,HIGH,5000,N_TERCIHSIZ_VEYA_DOC_FAIL,70,137.2525,2.4891,2.8767,STRUCTURAL_CEILING / MODEL_DERIVED / UPPER_BOUND — SUPPLIER TARGET DEGILDIR,DRAFT_UPPER_BOUND_BLOCKED_INPUT,80-model/outputs/country-buying-ceilings.csv + makro.yaml fx (EV-2026-08-10-865/-866)
